ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),jurisdiction_code,Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason,Notes
K361,India,IN,,,in,Special Purpose Vehicle-Coop  / Multistate Coop Society,English,en,Special Purpose Vehicle-Coop  / Multistate Coop Society,,,7/5/19,ACTV,,,,
K4OX,India,IN,,,in,Special Purpose Vehicle - Partnership Firm,English,en,Special Purpose Vehicle - Partnership Firm,,,7/5/19,ACTV,,,,
KJ0B,India,IN,,,in,Insurance Company,English,en,Insurance Company,,,7/5/19,ACTV,,,,
NBCI,India,IN,,,in,Banking Company - Others,English,en,Banking Company - Others,,,7/5/19,ACTV,,,,
NFPC,India,IN,,,in,Non-Banking Finance Company,English,en,Non-Banking Finance Company,,,7/5/19,ACTV,,,,
QCSO,India,IN,,,in,Multistate Cooperative Society,English,en,Multistate Cooperative Society,,,7/5/19,ACTV,,,,
U5S6,India,IN,,,in,Limited Liability Partnership,English,en,Limited Liability Partnership,LLP,,7/5/19,ACTV,,,,
U8NM,India,IN,,,in,Mutual Fund,English,en,Mutual Fund,,,7/5/19,ACTV,,,,
VX5J,India,IN,,,in,Mutual Fund-Sub Scheme,English,en,Mutual Fund-Sub Scheme,,,7/5/19,ACTV,,,,
W9FI,India,IN,,,in,Trust,English,en,Trust,,,7/5/19,ACTV,,,,
X4IT,India,IN,,,in,Government Company,English,en,Government Company,,,7/5/19,ACTV,,,,
XTZG,India,IN,,,in,Banking Company - Nationalised Bank,English,en,Banking Company - Nationalised Bank,,,7/5/19,ACTV,,,,
YSP9,India,IN,,,in,Private Limited Company,English,en,Private Limited Company,Pvt Ltd;Pvt. Ltd.;PVT LTD,,7/5/19,ACTV,,,,
2GV9,Ireland,IE,,,ie,Irish Collective Asset-management Vehicle,English,en,Irish Collective Asset-management Vehicle,ICAV,,11/30/17,ACTV,,,,
363J,Ireland,IE,,,ie,European Economic Interest Grouping,English,en,European Economic Interest Grouping,EEIG,,11/30/17,ACTV,,,,
363J,Ireland,IE,,,ie,Grupail Eorpach um Leas Eacnamaioch,Irish,ga,Grupail Eorpach um Leas Eacnamaioch,,,11/30/17,ACTV,correction of name of legal form,7/5/19,Irish name for this legal form added,
54SK,Ireland,IE,,,ie,Friendly Society,English,en,Friendly Society,,,11/30/17,ACTV,,,,
5AX8,Ireland,IE,,,ie,Designated Activity Company Limited by Guarantee,English,en,Designated Activity Company Limited by Guarantee,DAC – (limited by guarantee),,11/30/17,ACTV,correction of name of legal form,7/5/19,name of legal form in Irish deleted; name of legal form in English also changed; see other entry of this same ELF code,
5AX8,Ireland,IE,,,ie,Cuideachta Ghníomhaíochta Ainmnithe,Irish,ga,Cuideachta Ghníomhaíochta Ainmnithe,cga,,11/30/17,ACTV,,,,
9BPE,Ireland,IE,,,ie,Credit Union,English,en,Credit Union,,,11/30/17,ACTV,,,,
C58S,Ireland,IE,,,ie,Company Limited by Guarantee,English,en,Company Limited by Guarantee,CLG,,11/30/17,ACTV,,,,
C58S,Ireland,IE,,,ie,Cuideachta faoi Theorainn Ráthaíochta,Irish,ga,Cuideachta faoi Theorainn Ráthaíochta,ctr,,11/30/17,ACTV,,,,
DWS3,Ireland,IE,,,ie,General Partnership,English,en,General Partnership,,,11/30/17,ACTV,,,,
FF1D,Ireland,IE,,,ie,Public Unlimited Company that has no share capital,English,en,Public Unlimited Company that has no share capital,PULC / uc,,11/30/17,ACTV,,,,
FF1D,Ireland,IE,,,ie,Cuideachta Neamhtheoranta,Irish,ga,Cuideachta Neamhtheoranta,cn,,11/30/17,ACTV,,,,
HNJK,Ireland,IE,,,ie,Limited Partnership,English,en,Limited Partnership,,,11/30/17,ACTV,,,,
JXDX,Ireland,IE,,,ie,Societas Europaea,English,en,Societas Europaea,SE,,11/30/17,ACTV,,,,
KMFX,Ireland,IE,,,ie,Private Unlimited Company,English,en,Private Unlimited Company,ULC / uc,,11/30/17,ACTV,,,,
KMFX,Ireland,IE,,,ie,Cuideachta Neamhtheoranta,Irish,ga,Cuideachta Neamhtheoranta,cn,,11/30/17,ACTV,,,,
LGWG,Ireland,IE,,,ie,Designated Activity Company,English,en,Designated Activity Company,DAC – (limited by shares),,11/30/17,ACTV,correction of name of legal form,7/5/19,name of legal form in Irish deleted; name of legal form in English unchanged,
LGWG,Ireland,IE,,,ie,Cuideachta Ghníomhaíochta Ainmnithe,Irish,ga,Cuideachta Ghníomhaíochta Ainmnithe,cga,,11/30/17,ACTV,,,,
LMIM,Ireland,IE,,,ie,Limited company,English,en,Limited company,Ltd;Ltd.;Limited,,11/30/17,INAC,generic term removed,7/5/19,"this is a generic term for 3 legal forms which need to be specified: MNQ7, VYAX and C58S",
LMIM,Ireland,IE,,,ie,Teoranta,Irish,ga,Teoranta,teo,,11/30/17,INAC,generic term removed,7/5/19,"this is a generic term for 3 legal forms which need to be specified: MNQ7, VYAX and C58S",
LZIC,Ireland,IE,,,ie,Investment Limited Partnership,English,en,Investment Limited Partnership,ilp,,11/30/17,ACTV,,,,
LZIC,Ireland,IE,,,ie,comhpháirtíocht theoranta infheistíochta,Irish,ga,comhpháirtíocht theoranta infheistíochta,cti,,11/30/17,ACTV,,,,
MNQ7,Ireland,IE,,,ie,Private Company Limited by Shares,English,en,Private Company Limited by Shares,Ltd;Ltd.;Limited,,11/30/17,ACTV,correction of name of legal form,7/5/19,name of legal form changed: abbreviation deleted from legal name,
MNQ7,Ireland,IE,,,ie,Teoranta,Irish,ga,Teoranta,teo,,11/30/17,ACTV,,,,
URQH,Ireland,IE,,,ie,Public Unlimited Company,English,en,Public Unlimited Company,PUC / uc,,11/30/17,ACTV,,,,
URQH,Ireland,IE,,,ie,Cuideachta Neamhtheoranta,Irish,ga,Cuideachta Neamhtheoranta,cn,,11/30/17,ACTV,,,,
VYAX,Ireland,IE,,,ie,Public Limited Company,English,en,Public Limited Company,PLC,,11/30/17,ACTV,,,,
VYAX,Ireland,IE,,,ie,Cuideachta Phoiblí Theoranta,Irish,ga,Cuideachta Phoiblí Theoranta,cpt,,11/30/17,ACTV,,,,
ZJS8,Ireland,IE,,,ie,Industrial and Provident Society,English,en,Industrial and Provident Society,I&PS,,11/30/17,ACTV,,,,
1G26,Isle of Man,IM,,,im,Public Limited by Guarantee and not having a Share Capital (1931 Act),English,en,Public Limited by Guarantee and not having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
5ABK,Isle of Man,IM,,,im,Unlimited with Shares (2006 Act),English,en,Unlimited with Shares (2006 Act),,,11/30/17,ACTV,,,,
CDXK,Isle of Man,IM,,,im,Limited Liability Company,English,en,Limited Liability Company,,,11/30/17,ACTV,,,,
EMLA,Isle of Man,IM,,,im,Limited Partnership - without Legal Personality,English,en,Limited Partnership - without Legal Personality,,,11/30/17,ACTV,,,,
FI4M,Isle of Man,IM,,,im,Industrial and Building Society,English,en,Industrial and Building Society,,,11/30/17,ACTV,,,,
FMPL,Isle of Man,IM,,,im,Private Limited by Guarantee and not having a Share Capital (1931 Act),English,en,Private Limited by Guarantee and not having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
G4V6,Isle of Man,IM,,,im,Public Unlimited and having a Share Capital (1931 Act),English,en,Public Unlimited and having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
JHC4,Isle of Man,IM,,,im,Foundation,English,en,Foundation,,,11/30/17,ACTV,,,,
M44Y,Isle of Man,IM,,,im,Limited by Shares and by Guarantee (2006 Act),English,en,Limited by Shares and by Guarantee (2006 Act),,,11/30/17,ACTV,,,,
OESH,Isle of Man,IM,,,im,Public Limited by Guarantee and having a Share Capital (1931 Act),English,en,Public Limited by Guarantee and having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
QZTT,Isle of Man,IM,,,im,Private Limited by shares (1931 Act),English,en,Private Limited by shares (1931 Act),,,11/30/17,ACTV,,,,
SAI8,Isle of Man,IM,,,im,Private Unlimited and having a Share Capital (1931 Act),English,en,Private Unlimited and having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
SP9F,Isle of Man,IM,,,im,Limited by Guarantee (2006 Act),English,en,Limited by Guarantee (2006 Act),,,11/30/17,ACTV,,,,
TE79,Isle of Man,IM,,,im,Limited Partnership - with Legal Personality,English,en,Limited Partnership - with Legal Personality,,,11/30/17,ACTV,,,,
TQ3Z,Isle of Man,IM,,,im,Limited by Shares (2006 Act),English,en,Limited by Shares (2006 Act),,,11/30/17,ACTV,,,,
TV5P,Isle of Man,IM,,,im,Unlimited without Shares (2006 Act),English,en,Unlimited without Shares (2006 Act),,,11/30/17,ACTV,,,,
VC3E,Isle of Man,IM,,,im,Private Limited by Guarantee and having a Share Capital (1931 Act),English,en,Private Limited by Guarantee and having a Share Capital (1931 Act),,,11/30/17,ACTV,,,,
ZGPY,Isle of Man,IM,,,im,Public Limited by Shares (1931 Act),English,en,Public Limited by Shares (1931 Act),,,11/30/17,ACTV,,,,
135L,Italy,IT,,,it,Società Costituita In Base A Leggi Di Altro Stato,Italian,it,Societa' Costituita In Base A Leggi Di Altro Stato,,,11/30/17,ACTV,,,,
1RI9,Italy,IT,,,it,Ente Ecclesiastico Civilmente Riconosciuto,Italian,it,Ente Ecclesiastico Civilmente Riconosciuto,,,7/5/19,ACTV,,,,
1TON,Italy,IT,,,it,Associazione,Italian,it,Associazione,,,7/5/19,ACTV,,,,
2J7Z,Italy,IT,,,it,Consorzio con attività Esterna,Italian,it,Consorzio con attivita' Esterna,,,7/5/19,ACTV,,,,
2SZI,Italy,IT,,,it,Ente Sociale,Italian,it,Ente Sociale,,,11/30/17,ACTV,,,,
2XXH,Italy,IT,,,it,Società Semplice,Italian,it,Societa' Semplice,SS;S.S.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
5ODO,Italy,IT,,,it,Ente Diritto Pubblico,Italian,it,Ente Diritto Pubblico,,,11/30/17,ACTV,,,,
634M,Italy,IT,,,it,Gruppo Europeo Di Interesse Economico,Italian,it,Gruppo Europeo Di Interesse Economico,,,11/30/17,ACTV,,,,
70X0,Italy,IT,,,it,Fondazione Impresa,Italian,it,Fondazione Impresa,,,11/30/17,ACTV,,,,
75WC,Italy,IT,,,it,Fondazione,Italian,it,Fondazione,,,7/5/19,ACTV,,,,
8AXV,Italy,IT,,,it,Società Consortile Cooperativa a Responsabilità Limitata,Italian,it,Societa' Consortile Cooperativa a Responsabilita' Limitata,,,7/5/19,ACTV,,,,
8GU1,Italy,IT,,,it,Società A Responsabilità Limitata Semplificata,Italian,it,Societa' A Responsabilita' Limitata Semplificata,S.R.L.S.;S.R.L. semplificata,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
9KGS,Italy,IT,,,it,Società Cooperativa Europea,Italian,it,Societa' Cooperativa Europea,,,11/30/17,ACTV,,,,
ADAZ,Italy,IT,,,it,Istituto Religioso,Italian,it,Istituto Religioso,,,7/5/19,ACTV,,,,
ARJF,Italy,IT,,,it,Ente Morale,Italian,it,Ente Morale,,,7/5/19,ACTV,,,,
B5TO,Italy,IT,,,it,Società a Responsabilità Limitata con Unico Socio,Italian,it,Societa' a Responsabilita' Limitata con Unico Socio,,,7/5/19,ACTV,,,,
BL52,Italy,IT,,,it,Società Consortile A Responsabilità Limitata,Italian,it,Societa' Consortile A Responsabilita' Limitata,S.C.A.R.L.;S.C.R.L.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
C1IC,Italy,IT,,,it,Società Cooperativa Consortile,Italian,it,Societa' Cooperativa Consortile,gruppo consortile;societa' cooperativa;società cooperativa,,7/5/19,ACTV,,,,
CGSO,Italy,IT,,,it,Società in Accomandita Semplice,Italian,it,Societa' in Accomandita Semplice,,,7/5/19,ACTV,,,,
CTNS,Italy,IT,,,it,Società Cooperativa a Responsabilità Limitata,Italian,it,Societa' Cooperativa a Responsabilita' Limitata,,,7/5/19,ACTV,,,,
DCRK,Italy,IT,,,it,Consorzio Fidi,Italian,it,Consorzio Fidi,,,11/30/17,ACTV,,,,
DLS4,Italy,IT,,,it,Società in Accomandita per Azioni,Italian,it,Societa' in Accomandita per Azioni,,,7/5/19,ACTV,,,,
DSSD,Italy,IT,,,it,Azienda Autonoma Statale,Italian,it,Azienda Autonoma Statale,,,11/30/17,ACTV,,,,
H7D4,Italy,IT,,,it,Soggetto Estero,Italian,it,Soggetto Estero,,,7/5/19,ACTV,,,,
HN75,Italy,IT,,,it,Consorzio,Italian,it,Consorzio,societa' cooperativa;società cooperativa,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
IMHA,Italy,IT,,,it,Ente Ecclesiastico,Italian,it,Ente Ecclesiastico,,,7/5/19,ACTV,,,,
K021,Italy,IT,,,it,Contratto Di Rete Dotato Di Soggettivita' Giuridica,Italian,it,Contratto Di Rete Dotato Di Soggettivita' Giuridica,,,11/30/17,ACTV,,,,
K26L,Italy,IT,,,it,Ente,Italian,it,Ente,,,7/5/19,ACTV,,,,
KCHO,Italy,IT,,,it,Azienda Speciale Di Cui Al Dlgs 267/2000,Italian,it,Azienda Speciale Di Cui Al Dlgs 267/2000,,,11/30/17,ACTV,,,,
KCSG,Italy,IT,,,it,Ente Impresa,Italian,it,Ente Impresa,consorzio,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
KXZT,Italy,IT,,,it,Azienda Speciale,Italian,it,Azienda Speciale,,,7/5/19,ACTV,,,,
L1ZJ,Italy,IT,,,it,Azienda Municipale,Italian,it,Azienda Municipale,,,7/5/19,ACTV,,,,
LHBB,Italy,IT,,,it,Impresa Individuale,Italian,it,Impresa Individuale,,,11/30/17,ACTV,,,,
LZZD,Italy,IT,,,it,Società Consortile Per Azioni,Italian,it,Societa' Consortile Per Azioni,,,11/30/17,ACTV,,,,
NDEW,Italy,IT,,,it,Società Consortile Cooperativa,Italian,it,Societa' Consortile Cooperativa,,,11/30/17,ACTV,,,,
OV32,Italy,IT,,,it,Società A Responsabilità Limitata,Italian,it,Societa' A Responsabilita' Limitata,SRL;S.R.L.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
P418,Italy,IT,,,it,Società Per Azioni,Italian,it,Societa' Per Azioni,SPA;S.P.A.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
PHMS,Italy,IT,,,it,Cooperativa Sociale,Italian,it,Cooperativa Sociale,,,7/5/19,ACTV,,,,
QRZJ,Italy,IT,,,it,Società Cooperativa,Italian,it,Societa' Cooperativa,S.C.;soc. coop.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
RWZD,Italy,IT,,,it,Altre Forme,Italian,it,Altre Forme,,,7/5/19,ACTV,,,,
SBQN,Italy,IT,,,it,Consorzio senza Attività Esterna,Italian,it,Consorzio senza Attivita' Esterna,,,7/5/19,ACTV,,,,
SSP9,Italy,IT,,,it,Azienda Speciale Rea,Italian,it,Azienda Speciale Rea,,,7/5/19,ACTV,,,,
T2X1,Italy,IT,,,it,Società In Nome Collettivo,Italian,it,Societa' In Nome Collettivo,SNC;S.N.C.,,11/30/17,ACTV,abbreviations added,7/5/19,abbreviations added,
VA1V,Italy,IT,,,it,Società Di Mutuo Soccorso,Italian,it,Societa' Di Mutuo Soccorso,,,11/30/17,ACTV,,,,
VDRB,Italy,IT,,,it,Consorzio Municipale,Italian,it,Consorzio Municipale,,,11/30/17,ACTV,,,,
VUPE,Italy,IT,,,it,Società Europea,Italian,it,Societa' Europea,,,11/30/17,ACTV,,,,
W2PE,Italy,IT,,,it,Società non prevista dalla Legislazione Italiana,Italian,it,Societa' non prevista dalla Legislazione Italiana,,,7/5/19,ACTV,,,,
W9SC,Italy,IT,,,it,Mutua Assicurazione,Italian,it,Mutua Assicurazione,,,11/30/17,ACTV,,,,
WPED,Italy,IT,,,it,Associazione Impresa,Italian,it,Associazione Impresa,,,7/5/19,ACTV,,,,
WRU2,Italy,IT,,,it,Società Consortile in Accomandita Semplice,Italian,it,Societa' Consortile in Accomandita Semplice,,,7/5/19,ACTV,,,,
X32V,Italy,IT,,,it,Società per Azioni con Socio Unico,Italian,it,Societa' per Azioni con Socio Unico,,,7/5/19,ACTV,,,,
X62Z,Italy,IT,,,it,Consorzio Di Cui Alla Dlgs 267/2000,Italian,it,Consorzio Di Cui Alla Dlgs 267/2000,,,11/30/17,ACTV,,,,
ZG6S,Italy,IT,,,it,Ente Pubblico Economico,Italian,it,Ente Pubblico Economico,,,11/30/17,ACTV,,,,
ZU9S,Italy,IT,,,it,Piccola Società Cooperativa a Responsabilità Limitata,Italian,it,Piccola Societa' Cooperativa a Responsabilita' Limitata,,,7/5/19,ACTV,,,,
ZZOG,Italy,IT,,,it,Società Tra Professionisti,Italian,it,Societa' Tra Professionisti,,,11/30/17,ACTV,,,,
21F4,Jersey,JE,,,je,Separate Limited Partnerships,English,en,Separate Limited Partnerships,S.L.P.;SLP;Separate Limited Partnership;separate limited partnership;Separate Limited Partnerships;separate limited partnerships,,11/30/17,ACTV,,,,
33IP,Jersey,JE,,,je,Incorporated Limited Partnerships,English,en,Incorporated Limited Partnerships,I.L.P.;ILP;Inc.;L. P.;Inc;LP.;Incorporated Limited Partnerships;incorporated limited partnership,,11/30/17,ACTV,,,,
40A7,Jersey,JE,,,je,Foundation,English,en,Foundation,,,11/30/17,ACTV,,,,
7RZH,Jersey,JE,,,je,Limited Liability Partnership,English,en,Limited Liability Partnership,LLP;L.L.P.;limited liability partnership;Limited Liability Partnership,,11/30/17,ACTV,,,,
JOX1,Jersey,JE,,,je,Public Limited Company,English,en,Public Limited Company,LTD;PLC;Limited,,11/30/17,ACTV,,,,
LO9A,Jersey,JE,,,je,Private Limited by Guarantee,English,en,Private Limited by Guarantee,Ltd;Ltd.;Limited,,11/30/17,ACTV,,,,
SQXV,Jersey,JE,,,je,Private Limited Company,English,en,Private Limited Company,LTD;A.R.L;Limited,,11/30/17,ACTV,,,,
UBWU,Jersey,JE,,,je,Limited Partnership,English,en,Limited Partnership,L.P.;LP;limited partnership;Limited Partnership,,11/30/17,ACTV,,,,
,,JP,,,jp,株式会社,Japanese,jp,kabushiki gaisha,,K.K.,,,,,,"lit. ""stock company"", the most typical form of business corporation, usually translated in company names as ""Company, Limited""/""Co., Ltd."""
,,JP,,,jp,合同会社,Japanese,jp,gōdō gaisha,,G.K.,,,,,,"lit. ""amalgamated company"", a close corporation form similar to the American LLC, introduced in 2006"
,,JP,,,jp,有限会社,Japanese,jp,yūgen gaisha,,Y.K.,,,,,,"lit. ""limited company"", a close corporation form for smaller businesses, abolished in 2006 and replaced by G.K. above"
,,JP,,,jp,合名会社,Japanese,jp,gōmei gaisha,,GMK,,,,,,corporation similar to a general partnership
,,JP,,,jp,合資会社,Japanese,jp,gōshi gaisha,,GSK,,,,,,corporation similar to a limited partnership
,,JP,,,jp,任意組合,Japanese,jp,nin'i kumiai,,NK,,,,,,general partnership (Civil Code)
,,JP,,,jp,匿名組合,Japanese,jp,tokumei kumiai,,TK,,,,,,"anonymous partnership, an investment bilateral contract (Commercial Code, Book 2 Ch.4 Article 535 et seq)"
,,JP,,,jp,投資事業有限責任組合,Japanese,jp,tōshi jigyō yūgen sekinin kumiai,,,,,,,,"limited partnership for investment (Limited Partnership for Investment Act 1998, Rev.2004)"
,,JP,,,jp,有限責任事業組合,Japanese,jp,yūgen sekinin jigyō kumiai,,,,,,,,similar to a Limited Liability Partnership (Limited Liability Partnership Act of 2005)
3YUD,Kosovo,XK,,,xk,Ndërmarrjet shoqërore nën administrimin e Agjencisë Kosovare të Privatizimit,Albanian,sq,Ndërmarrjet shoqërore nën administrimin e Agjencisë Kosovare të Privatizimit,NSH,,7/5/19,ACTV,,,,
B56A,Kosovo,XK,,,xk,Zyra e Përfaqësisë së Shoqërisë së Huaj Tregtare në Kosovë,Albanian,sq,Zyra e Përfaqësisë së Shoqërisë së Huaj Tregtare në Kosovë,,,7/5/19,ACTV,,,,
CRX3,Kosovo,XK,,,xk,Kooperativa Bujqësore,Albanian,sq,Kooperativa Bujqësore,KB,,7/5/19,ACTV,,,,
D37H,Kosovo,XK,,,xk,Shoqëri me Përgjegjësi të Kufizuar,Albanian,sq,Shoqëri me Përgjegjësi të Kufizuar,SHPK,,7/5/19,ACTV,,,,
OZDY,Kosovo,XK,,,xk,Dega e Shoqërisë së Huaj Tregtare në Kosovë,Albanian,sq,Dega e Shoqërisë së Huaj Tregtare në Kosovë,Kompani e Huaj,,7/5/19,ACTV,,,,
Q22D,Kosovo,XK,,,xk,Shoqëri aksionare,Albanian,sq,Shoqëri aksionare,SHA,,7/5/19,ACTV,,,,
QZEN,Kosovo,XK,,,xk,Biznes Individual,Albanian,sq,Biznes Individual,BI,,7/5/19,ACTV,,,,
T2X0,Kosovo,XK,,,xk,Ortakëri e Përgjithshme,Albanian,sq,Ortakëri e Përgjithshme,OP,,7/5/19,ACTV,,,,
W5H8,Kosovo,XK,,,xk,Ndërmarrjet publike sipas ligjit në fuqi për ndërmarrjet publike,Albanian,sq,Ndërmarrjet publike sipas ligjit në fuqi për ndërmarrjet publike,NP,,7/5/19,ACTV,,,,
W7KV,Kosovo,XK,,,xk,Ortakëri e Kufizuar,Albanian,sq,Ortakëri e Kufizuar,OK,,7/5/19,ACTV,,,,
1IPK,Latvia,LV,,,lv,Komandītsabiedrība,Latvian,lv,Komandītsabiedrība,KS,,11/30/17,ACTV,,,,
3LCY,Latvia,LV,,,lv,Pilnsabiedrība,Latvian,lv,Pilnsabiedrība,PS,,11/30/17,ACTV,,,,
AZTM,Latvia,LV,,,lv,Eiropas komercsabiedrība,Latvian,lv,Eiropas komercsabiedrība,SE,,11/30/17,ACTV,,,,
BS22,Latvia,LV,,,lv,Individuālais komersants,Latvian,lv,Individuālais komersants,IK,,11/30/17,ACTV,,,,
ES2D,Latvia,LV,,,lv,Sabiedrība ar ierobežotu atbildību,Latvian,lv,Sabiedrība ar ierobežotu atbildību,SIA,,11/30/17,ACTV,,,,
VJBO,Latvia,LV,,,lv,Akciju sabiedrība,Latvian,lv,Akciju sabiedrība,AS,,11/30/17,ACTV,,,,
1DGT,Liechtenstein,LI,,,li,Treuunternehmen,German,de,Treuunternehmen,Trust reg.,,11/30/17,ACTV,,,,
1SOY,Liechtenstein,LI,,,li,Europäische Genossenschaft,German,de,Europäische Genossenschaft,SCE,,11/30/17,ACTV,,,,
32HC,Liechtenstein,LI,,,li,Verein,German,de,Verein,e.V.,,11/30/17,ACTV,,,,
7RRP,Liechtenstein,LI,,,li,Aktiengesellschaft,German,de,Aktiengesellschaft,AG,,11/30/17,ACTV,,,,
ANSR,Liechtenstein,LI,,,li,Kommanditgesellschaft,German,de,Kommanditgesellschaft,KG,,11/30/17,ACTV,,,,
BSZ8,Liechtenstein,LI,,,li,Stiftung,German,de,Stiftung,,,11/30/17,ACTV,,,,
IF49,Liechtenstein,LI,,,li,Genossenschaft,German,de,Genossenschaft,eG;e.G.;e.Gen.,,11/30/17,ACTV,,,,
K98U,Liechtenstein,LI,,,li,Europäische Wirtschaftliche Interessenvereinigung,German,de,Europäische Wirtschaftliche Interessenvereinigung,EWIV,,11/30/17,ACTV,,,,
NDID,Liechtenstein,LI,,,li,Kollektivgesellschaft,German,de,Kollektivgesellschaft,,,11/30/17,ACTV,,,,
TMU1,Liechtenstein,LI,,,li,Anstalt,German,de,Anstalt,,,11/30/17,ACTV,,,,
WAK8,Liechtenstein,LI,,,li,Europäische Gesellschaft,German,de,Europäische Gesellschaft,SE,,11/30/17,ACTV,,,,
Y8LH,Liechtenstein,LI,,,li,Gesellschaft mit beschränkter Haftung,German,de,Gesellschaft mit beschränkter Haftung,GmbH;Ges.m.b.H.,,11/30/17,ACTV,,,,
13T9,Lithuania,LT,,,lt,Europos bendrovės,Lithuanian,lt,Europos bendrovės,EB,,11/30/17,ACTV,,,,
4ZF3,Lithuania,LT,,,lt,Valstybės įmonės,Lithuanian,lt,Valstybės įmonės,VI,,11/30/17,ACTV,,,,
5BY2,Lithuania,LT,,,lt,Europos kooperatinės bendrovės,Lithuanian,lt,Europos kooperatinės bendrovės,EKB,,11/30/17,ACTV,,,,
5CIE,Lithuania,LT,,,lt,Advokatų profesinės bendrijos,Lithuanian,lt,Advokatų profesinės bendrijos,APB,,11/30/17,ACTV,,,,
5TA8,Lithuania,LT,,,lt,Šeimynos,Lithuanian,lt,Šeimynos,S,,11/30/17,ACTV,,,,
6JDN,Lithuania,LT,,,lt,Profesinės sąjungos ir jų susivienijimai,Lithuanian,lt,Profesinės sąjungos ir jų susivienijimai,PS,,11/30/17,ACTV,,,,
81KA,Lithuania,LT,,,lt,Akcinės bendrovės,Lithuanian,lt,Akcinės bendrovės,AB,,11/30/17,ACTV,,,,
A2GC,Lithuania,LT,,,lt,"Religines bendruomenes, bendrijos ir centrai",Lithuanian,lt,"Religines bendruomenes, bendrijos ir centrai",RB,,11/30/17,ACTV,,,,
A338,Lithuania,LT,,,lt,Individualios įmonės,Lithuanian,lt,Individualios įmonės,II,,11/30/17,ACTV,,,,
BGPJ,Lithuania,LT,,,lt,Europos ekonominių interesų grupės,Lithuanian,lt,Europos ekonominių interesų grupės,EEIG,,11/30/17,ACTV,,,,
BPLS,Lithuania,LT,,,lt,Uždarosios akcinės bendrovės,Lithuanian,lt,Uždarosios akcinės bendrovės,UAB,,11/30/17,ACTV,,,,
DLCX,Lithuania,LT,,,lt,Tikrosios ūkinės bendrijos,Lithuanian,lt,Tikrosios ūkinės bendrijos,TUB,,11/30/17,ACTV,,,,
E4HU,Lithuania,LT,,,lt,"Lietuvos prekybos, pramonės ir amatų rūmų asociacija",Lithuanian,lt,"Lietuvos prekybos, pramonės ir amatų rūmų asociacija",LPRA,,11/30/17,ACTV,,,,
F2TQ,Lithuania,LT,,,lt,Tradicinės religinės bendruomenės ar bendrijos,Lithuanian,lt,Tradicinės religinės bendruomenės ar bendrijos,TR,,11/30/17,ACTV,,,,
F2ZF,Lithuania,LT,,,lt,Asociacijos,Lithuanian,lt,Asociacijos,A,,11/30/17,ACTV,,,,
HGMH,Lithuania,LT,,,lt,Labdaros ir paramos fondai,Lithuanian,lt,Labdaros ir paramos fondai,LF,,11/30/17,ACTV,,,,
HJ1Y,Lithuania,LT,,,lt,Bendrijos,Lithuanian,lt,Bendrijos,BN,,11/30/17,ACTV,,,,
K4GR,Lithuania,LT,,,lt,Biudžetinės įstaigos,Lithuanian,lt,Biudžetinės įstaigos,BI,,11/30/17,ACTV,,,,
KWBA,Lithuania,LT,,,lt,Viešosios įstaigos,Lithuanian,lt,Viešosios įstaigos,VS,,11/30/17,ACTV,,,,
LUGM,Lithuania,LT,,,lt,Kooperatinės bendrovės (kooperatyvai),Lithuanian,lt,Kooperatinės bendrovės (kooperatyvai),KO,,11/30/17,ACTV,,,,
LUOA,Lithuania,LT,,,lt,Komanditinės ūkinės bendrijos,Lithuanian,lt,Komanditinės ūkinės bendrijos,KB,,11/30/17,ACTV,,,,
NVPY,Lithuania,LT,,,lt,Privačių detektyvų bendrijos,Lithuanian,lt,Privačių detektyvų bendrijos,PDB,,11/30/17,ACTV,,,,
Q4A3,Lithuania,LT,,,lt,"Prekybos, pramonės ir amatų rūmai",Lithuanian,lt,"Prekybos, pramonės ir amatų rūmai",PER,,11/30/17,ACTV,,,,
Q8UI,Lithuania,LT,,,lt,Nuolatinės arbitražo institucijos,Lithuanian,lt,Nuolatinės arbitražo institucijos,NA,,11/30/17,ACTV,,,,
QG9Y,Lithuania,LT,,,lt,Sodininkų bendrijos,Lithuanian,lt,Sodininkų bendrijos,SD,,11/30/17,ACTV,,,,
